 issuenum |    pname    |                                                                                       summary                                                                                        
      276 | Open        | snapbounce: Enhance the tool to avoid losing bounces...
      277 | Open        | sendmail: email addresses are lost in text version of email
      279 | Open        | sendmail/user-registration: check domain name first
      280 | Open        | Content: create_content() cannot fail!? otherwise we get dangling pages.
      282 | Open        | Editor/Form: completely phase out the Form plugin
      283 | Open        | Antivirus: log_path should not be used?
      284 | Open        | favicon: Add more tests on the image and add support for .ico files.
      289 | Open        | Coverity: Entry whenever fixing a problem specific to a coverity report
      290 | Open        | iplock: do not use system() with redirection
      291 | In Progress | Plugins: selector to add/remove plugins to a website
      294 | Open        | Database fields with type and the get_name() functions (i.e. "Type Column")
      299 | Open        | snapwatchdog: Check network connections from any service using the snapcommunicator tool to get the current status.
      300 | In Progress | Time Tracker: entry for the timetracker plugin
      301 | Open        | Bookkeeping: entry for the bookkeeping plugin
      302 | Open        | CSS @media for cell phones
      304 | Open        | Pinned Website: a Microsoft new scheme that allows for pinned websites...
      308 | Open        | xmlsitemap: Convert saved images in attachments
      309 | Open        | robotstxt: move the currently fully dynamic creation of robots.txt in an attachment
      311 | Open        | cassview: the filter does not work correctly for table "files"
      312 | Open        | cassview: entering an invalid value may throw and we get no error message...
      314 | Open        | Social Media: Add support for a Twitter Card
      318 | Open        | Check ABI version of our C++ libraries
      320 | Open        | Video/Audio support (YouTube and alike, and also jPlayer)
      325 | Open        | Elastic Network with DigitalOcean
      328 | Open        | snapwatchdog: Look into getting all sorts of statistics about the Cassandra cluster
      330 | Open        | CSS and one image for all url() references
      333 | Open        | cassview: creating a new cell/value should not be allowed if the cell already exists
      334 | Open        | Deleting a link with snapbackend -a links::deletelink deleted the wrong links
      336 | Open        | Timezone and Locale between various servers...
      337 | Open        | Editor: background values using an absolute position conflicts with scrolling areas
      338 | Open        | cmake: The ImageMagick cmake environment is "hard coded"
      346 | Open        | ScyllaDB or Rocksandra instead of Cassandra?
      348 | Open        | snaplock: build a "standalone" project
      349 | Open        | snap_addr, tcp_client_server, snap_communicator, snapserver, ... and IP:port handling
      355 | Reopened    | snapfirewall: allow the startup of this tool without database if it is to setup & manage the basic and dynamic firewall rules
      358 | Open        | snapcommunicator: transform local connections from full TCP/IP sockets to Unix streams
      359 | Open        | advgetopt: copy the existing test (from wpkg) to the library in snap
      363 | Open        | constexpr and do_update() dates -- we can now write a C++ function for this one!
      365 | Open        | Changing the domain name of a website...
      366 | Open        | snapmanagerdaemon: Ctrl-C does not kill that one...
      367 | Open        | dbutils needs a way to convert a column name back to a column key
      369 | Open        | Add type columns to each Snap! table
      370 | Open        | snapwatchdog: Add another plugin that reads each process status to control memory swappiness
      371 | Open        | snapwebsites: the server should use waitpid(-1, ...) to capture zombies.
      374 | Open        | Search: Actually implement the search plugin
      375 | Open        | blocked users: the password mechanism to block users do not create a list of blocked users
      381 | Open        | Content: Using a "tree" table and replace pages with IDs instead
      382 | Open        | Editor: how to handle the case where the user has multiple windows open
      383 | Open        | Move away from MD5 and use Murmur3?
      384 | Open        | Remove the need to read the whole context to determine the list of tables
      386 | Open        | Implement the correct process to reboot a Snap! Websites cluster
      387 | Open        | snapcommunicator: base_connection should reimplement the basic interface...
      393 | Open        | libsnapcommunicator: add support for a process listener (although you need to be root...)
      394 | Open        | snapmanagerdaemon: restart bundle threads once in a while.
      395 | Open        | snapmanagerdaemon: Queue ALL tasks using a batch mechanism (such as installing new packages) so we do not block the snapmanagerdaemon message queue
      397 | Open        | snapmanager: self::snapmanager_frontend cannot accept an IP at the moment
      407 | Open        | Consider testing finball / exdox with CloudFlare
      408 | Open        | Create a plugin (or in snapmanager.cgi?) to install a letsencrypt SSL certificate
      409 | Open        | Defaults in configuration files...
      411 | Open        | swap file, bundles uses fstab instead of systemd
      414 | Open        | Changing the name of a computer is not well acknowledged by snapmanagerdaemon / snapmanager.cgi
      416 | Open        | Project version does not get updated dynamically when changelog is edited
      418 | Open        | Somehow we added 127.0.0.1 to the list of neighbors
      423 | Open        | Write unittest for QCassandraSchema, to make sure resources are truly freed.
      429 | Open        | snapcommunicator: Start only after tun0 if required (was: Make the listener tolerant)
      437 | Open        | snapmanager: only one? but how do we "share" plugins?
      445 | Open        | snapmanager: add support to decommission a Cassandra node...
      446 | Open        | Use HAProxy to load balance snapservers?
      448 | Open        | Create a standalone process that listens for services starting to listen on ports...
      452 | Open        | Receiving SSL in a PLAIN socket can be detected (when someone makes a setup mistake)
      458 | Open        | Snap for m2osw
      459 | Open        | Create / Move boxes around the page (UI / CSS / whatnot)
      460 | Open        | Menu: interface to create and maintain menus
      466 | Open        | snapmanager: Bundle versioning — old snapmanager.cgi may not be able to understand new format
      467 | Open        | Page loaded from a draft should warn the user about the fact.
      469 | Open        | Date widget shows a date using the current locale which fails verification
      470 | Open        | snaplock: add support for semaphores
      474 | Open        | Add a bundle to create/manage a redirect on computers other than front end computers
      476 | Open        | Build: Add the GIT branch so we can have a -DGIT_BRANCH=... on the c++ command line
      478 | Open        | List are slow to react: (1) use blobs, (2) use ScyllaDB, (3) pre-calculate some lists, (4) use a Cassandra index
      480 | Open        | snapinstallwebsite does not properly unlock when Ctrl-C is used...
      486 | Open        | Access to website log from Snap! frontend
      488 | Open        | Build: add two more variables for the URI to use for the build server, repository and bundles
      489 | Open        | snap_child should somehow send its logs to snaplog
      492 | Open        | Reboot: in order to repair the start/stop process we want to fix the "Type=" to "forking" instead of "simple"
      494 | Open        | iplock: add support adding routes to block IPs at the lowest possible level
      496 | Open        | iplock: look into whether supporting "-m multiport" would help
      499 | Open        | Error Plugin to display a nice HTML when an HTTP error occurs
      500 | Open        | Implement a common script library for use in all pre/post scripts our packages and snapmanagerdaemon provide.
      502 | Open        | Cassandra: Unable to gossip with any seeds
      507 | Open        | shared_ptr<>() for RAII on resources is not exception safe
      510 | Open        | snapmanager: Add support for user management
      516 | Open        | snapfirewall: implement an "UNBLOCKALL" message to remove all IPs at once
      517 | Open        | snapdbproxy: on an error, it is most likely going to close the connection without sending any info to the client...
      520 | Open        | Cassandra: the sharing of the SSL certificate generates error on non-cassandra nodes
      523 | Open        | Help with cell phone / smart phone / mobile optimization
      528 | Open        | A small refactor for the batch functionality is needed in the casswrapper::Query object
      535 | Open        | Schema.org: What Google really supports from the schema
      538 | Open        | cassview: have a "Save to File ..." so one can save the data of a cell to a file.
      542 | Open        | cmake: add a changelog linter capability so we avoid problems on the format...
      544 | Open        | Move snap_config into `libadvgetopt`, and remove all `exit(1)` calls from the library.
      548 | Open        | Users: move the password and change-email paths to a sub-page under the user profile
      549 | Open        | e-Payment: support for Bitcoin like currencies
      550 | Open        | Add support for PJAX
      552 | Open        | permissions: check whether the access_allowed() function should use "/user/" or "" for anonymous users
      554 | Open        | Add a bundle to install git and make `/etc/*` part of a git repository
      555 | Open        | Add support for systems such as AdWord
      556 | Open        | vCard plugin
      558 | Open        | snapfirewall: add support for a "pretend" parameter so we can test new rules
      559 | Open        | Editor: background text does not get clipped (because it's fixed?)
      560 | Open        | layout: add function to easily get the layout name
      561 | Open        | csspp: The * and / and ( and ) do not require extra spaces in calc().
      563 | Open        | favicon: Offer an online editor for those people who don't have an image ready
      565 | Open        | Add support for WebP compression of images
      567 | Open        | Third party widgets blocking JS and other loading...
      568 | Open        | On a purge shred our logs and some files under /etc
      569 | Open        | Editor: cannot select a dropdown item when over a radio button area?!
      572 | Open        | Add "Documentation=..." to our daemon declarations
      573 | Open        | Users: auto-determine default timezone at registration time
      576 | Open        | snap_child handles HTTP headers "the wrong way"
      581 | Open        | snapwatchdog: Detect various things in our log files and whether some log files are more than 10Mb
      582 | Open        | Users: multi-window errors are most often sent to ONE window...
      583 | Open        | sendmail: HTML emails must include the viewport meta tag
      585 | Open        | Write MySQL snapmanager plugin which can create/drop users/tables.
      587 | Open        | DNS-Prefetch: Implement the necessary to know of all the domain names that will be hit and put them in DNS-Prefetch
      588 | Open        | Editor & Images: saving an image in the body won't include a valid field name
      594 | Open        | snapcommunicator: it always generates an error about reading from a certain socket
      597 | Open        | SnapLite: Allow MySQL to replace the Cassandra backend with a configuration switch.
      598 | Open        | Allow easy setup of a side column (in most cases) that is sticky
      599 | Open        | Progressive Web App (PWA) -- look into it further for various reasons
      601 | Open        | robotstxt and expiration date
      602 | Open        | NSFW Anti-Spam check doable with Yahoo! Open Source code
      603 | Open        | Twitter: Add a plugin to re-create some of Tweepi's features
      604 | Open        | Plugin to Control Remote Caches: Kill the caching of new pages to make sure the data is ready for sharing before freezing that data...
      605 | Open        | When unpublishing page, allow for a 307 redirect
      606 | Open        | 410 Gone -- add support so we can mark a page as GONE!
      607 | Open        | statistics: counting internal clicks
      608 | Open        | Links to pages that return a 403 or other similar errors should use nofollow
      610 | Open        | Google Analytics and other 3rd party modules
      611 | Open        | Accessibility is a good idea so governments are more likely to use out systems
      613 | Open        | Merge libdbproxy (was libQtCassandra) in libsnapwebsites
      614 | Open        | Add easy support for Google Chart (like YouTube videos)
      615 | Open        | Interlinking Manager
      616 | Open        | Twitter Helper
      618 | Open        | Security: a wordpress plugin creates these .htaccess entries and maybe some could be useful to us?
      619 | Open        | ads.txt: create a plugin to allow user to enter a list of advertising networks
      620 | Open        | Images need to make use of the sizes and srcset attributes
      621 | Open        | "Chat to Text" — we can't use that name but the idea is interesting
      622 | Open        | AwesomeTables—make it easy to integrate such tables in our system?
      623 | Open        | snaplog: fix the logger so we can break the circular dependency with snap_communicator
      624 | Open        | Include ffserver as one of the services you can install with snapmanager.
      625 | Open        | Tracking work done on pages with an easy set of checkmarks
      626 | Open        | GDPR, Privacy Policy, Cookies
      627 | Open        | Our editor "Anchor" feature needs to be checked properly
      632 | Open        | snapmanager: Add support to edit Postfix mynetworks -- to allow the entry of the IP addresses of the other computers on the network
      633 | Open        | A cluster (LAN) DNS to name each computer only locally with their local network IP?
      634 | Open        | snapmanager: Add support to edit the /etc/aliases file from snapmanager.cgi
      636 | Open        | snapmanager: Look into auto-updating the interface when snapmanager.cgi is up
      637 | Open        | snapmanager: Most errors do not get reported at all!
      638 | Open        | snapwatchdog: test whether errors occurred while running snapbackup
      640 | Open        | snapwatchdog: Add swap used by processes (mysql is a hog on finball3)
      642 | Open        | Permissions: Virtual pages probably don't get access to cached permissions at all
      643 | Open        | snapmanager: When auto-updating a tab where the highlighting level changes, it's not reflected properly
      644 | Open        | snapmanager: Implement installer version 2, create a batch capability to process any command
      649 | Open        | snap.cgi: transform snap.cgi in a proxy so we can properly handle conditions in HTTP requests to properly allow for long term caching (instead of getting 304's from the snapserver)
      650 | Open        | cache_control: redesign the flags as "undefined", "true", or "false" instead of just "true" or "false"
      651 | Open        | Caches: add a tool to manage the snap.cgi cache
      652 | Open        | Implement Notes -- a set of private pages that can't be published
      653 | Open        | snapwatchdog: Inter-computer checks, verify that the watchdog is running on all machines
      655 | Open        | shorturl: Implement a REST API
      656 | Open        | snapmanager: Retrieve list of packages to be upgraded
      657 | Open        | snapmanager: Current Reboot process fails to "wake up" because field "disappears"
      658 | In Progress | snaprfs: create a tool that allows us to efficiently copy files between computers
      664 | Open        | snapwatchdog: look into running logrotate against large log files
      666 | Open        | /run/snapwebsites and other temporary folder to be created by systemd
      668 | Open        | snapwatchdog: Postfix TLS/SSL certificate not working
      669 | Open        | as2js: syntax choices
      670 | Open        | sendmail: the plugin now forcibly sends email to administrator
      671 | Open        | Review/Test Express-Cassandra to query our database as a full RDBM
      672 | Open        | ZipIos (and others) has to check it's versions so we can push proper quality code...
      673 | Open        | No Reboot button when /run/reboot doesn't exist
      674 | Open        | xmlsitemap: Implement the hreflang="..." in the xmlsitemap
      675 | Open        | snapmanager: Installing a package which does not have correct keys results in a silent failed attempt
      677 | Open        | snapmanager: add support to change snapdb info (especially the host)
      678 | Open        | snapmanager: my new installation with an SSD prevents an Apache restart
(292 rows)

